,y_lo,y_hi,h_lo,h_hi,result
233,13.1,13.2,23.0,24.0,unsafe
234,13.1,13.2,24.0,25.0,unsafe
235,13.1,13.2,25.0,26.0,unsafe
236,13.1,13.2,26.0,27.0,unsafe
237,13.1,13.2,27.0,28.0,unsafe
238,13.1,13.2,28.0,29.0,unsafe
239,13.1,13.2,29.0,30.0,unsafe
240,13.2,13.3,10.0,11.0,unsafe
241,13.2,13.3,11.0,12.0,unsafe
242,13.2,13.3,12.0,13.0,unsafe
243,13.2,13.3,13.0,14.0,unsafe
244,13.2,13.3,14.0,15.0,unsafe
245,13.2,13.3,15.0,16.0,unsafe
246,13.2,13.3,16.0,17.0,unsafe
247,13.2,13.3,17.0,18.0,unsafe
248,13.2,13.3,18.0,19.0,unsafe
249,13.2,13.3,19.0,20.0,unsafe
250,13.2,13.3,20.0,21.0,unsafe
251,13.2,13.3,21.0,22.0,unsafe
252,13.2,13.3,22.0,23.0,unsafe
253,13.2,13.3,23.0,24.0,unsafe
254,13.2,13.3,24.0,25.0,unsafe
255,13.2,13.3,25.0,26.0,unsafe
256,13.2,13.3,26.0,27.0,unsafe
257,13.2,13.3,27.0,28.0,unsafe
258,13.2,13.3,28.0,29.0,unsafe
259,13.2,13.3,29.0,30.0,unsafe
260,13.3,13.4,10.0,11.0,unsafe
261,13.3,13.4,11.0,12.0,unsafe
262,13.3,13.4,12.0,13.0,unsafe
263,13.3,13.4,13.0,14.0,unsafe
264,13.3,13.4,14.0,15.0,unsafe
265,13.3,13.4,15.0,16.0,unsafe
266,13.3,13.4,16.0,17.0,unsafe
267,13.3,13.4,17.0,18.0,unsafe
268,13.3,13.4,18.0,19.0,unsafe
269,13.3,13.4,19.0,20.0,unsafe
270,13.3,13.4,20.0,21.0,unsafe
271,13.3,13.4,21.0,22.0,unsafe
272,13.3,13.4,22.0,23.0,unsafe
273,13.3,13.4,23.0,24.0,unsafe
274,13.3,13.4,24.0,25.0,unsafe
275,13.3,13.4,25.0,26.0,unsafe
